Sentence,Labels
don't know their dad's,Family & relationship
just want kids,Family & relationship
want abortions,Personality
control the world,"Belief, Personality, Crime"
have crazy names,"Culture, Appearance"
have odd hair,"Culture, Appearance"
are trans,Personality
crawl over border,"Personality, Crime"
are only interested in money,"Morality, Belief"
have less rights than white folks,Social status
"will always be ""inferior""","Ability, Social status"
deserve hateful insults,Mistreatment
deserved to be burned by nazi's,Mistreatment
are starving,Financial status
don't deserve love,Mistreatment
get in trouble with the law a lot,Crime
are feminine,"Personality, Appearance"
should just kill themselves,Mistreatment
have many children,Family & relationship
want white women,"Morality, Personality"
can't play hockey,Ability
exist to please men,"Social status, Personality"
are diseased,Health
are into sex with animals,Personality
have anal sex,Personality
belong in the home/kitchen,Mistreatment
are inferior to citizens,Social status
burned to death,Mistreatment
are inferior/useless,"Ability, Social status"
are not masculine,Appearance
are in always in jail cells,Crime
should be ridiculed,Mistreatment
with mental illnesses are irrational,Health
are retarded,Ability
have been lynched in the past,Mistreatment
get shot at,Mistreatment
are called female sometimes,Mistreatment
are molested,Mistreatment
are destroying people's lives,"Personality, Crime"
are always looking for sex,Personality
are liars,"Morality, Personality"
do hard labor,Social status
want attention,Personality
don't belong,Social status
have sex in exchange for drugs or money,"Morality, Personality"
are hypocrites,Morality
are dangerous drivers,Personality
need to wear makeup,"Morality, Appearance"
are only valuable for their looks,Ability
are the weaker sex,"Ability, Social status"
should be lynched,Mistreatment
beat their women,"Personality, Crime"
should be raped,Mistreatment
target black people,"Morality, Crime"
cant controll themselves,Personality
sexually abuse children,"Morality, Family & relationship, Personality"
are judged by their weight,Appearance
target other ,"Crime, Personality"
are untrustworthy,Personality
make the world worse,"Personality, Crime"
lie about rape,Personality
lie,Personality
are bad at math,Ability
should be allowed to drive,Mistreatment
have small eyes,Appearance
havea shorter life span,"Ability, Health"
eat fried chicken,Personality
don't eat,Personality
are all victims of concentration camps,Mistreatment
deserved to be slaves,Mistreatment
come from slaves,"Mistreatment, Social status"
should be enslaved,Mistreatment
are not worth as much as men,"Ability, Social status"
should be subservient to whites,Mistreatment
are unfair,"Morality, Personality"
can't do things for themselves,Ability
are not equal,Social status
are terrible,"Ability, Crime"
get arrested a lot,"Mistreatment, Social status, Crime"
are meant to be made fun of,Mistreatment
should not come to the us,Mistreatment
shouldn't be in the country,Mistreatment
are easily offended,Personality
can be evil,"Personality, Crime"
want to control people,"Personality, Crime"
"are ""colored""","Appearance, Social status"
are superficial,"Ability, Personality"
should be sold and chained,Mistreatment
know nothing about sports,Ability
can't defend themselves,"Ability, Mistreatment"
are egotistical,Personality
aren't normal,"Ability, Health, Personality"
blame others,Personality
do drugs,Personality
can't drive,Ability
don't wait for consent for sex,"Personality, Crime"
can't swim,Ability
have hilarious accents,Personality
can't complete tasks,Ability
were gassed,Mistreatment
were cooked in an oven,Mistreatment
are not a worthy race,"Ability, Mistreatment, Social status"
aren't equal,Social status
are stupid,Ability
are always unable to afford food,Financial status
are prone to committing crime,"Crime, Morality, Personality"
are only good for one thing,Ability
are blameworthy for genocide,Crime
are raped,Mistreatment
disabled people,"Crime, Health"
cheat on their girlfriends,"Morality, Personality"
have a lot of kids,Family & relationship
should do what men say,"Mistreatment, Social status"
are okay to make fun of,"Mistreatment, Personality"
have unfair advantages,Mistreatment
are victims,Mistreatment
are faggots,Belief
are allowed to be targeted by pedophiles,"Mistreatment, Personality"
only care about appearance,Personality
are not equal to straight people,"Mistreatment, Social status, Personality"
being lynched is funny,Mistreatment
cannot keep jobs,Ability
being abused is funny,Mistreatment
are the butt of jokes,"Ability, Mistreatment, Personality"
are undesirable neighbors,Personality
cause problems,Personality
are from the jungles,Personality
have miscarriages,"Personality, Health"
don't have families,Family & relationship
can be bought,"Morality, Social status, Personality"
push their agenda constantly,Personality
dont work,"Ability, Personality"
don't have homes,Financial status
are subservient to men,"Mistreatment, Social status"
are animals/subhuman,Personality
are worse than other people,Ability
are abused,Mistreatment
abandon their parenting duties,"Morality, Personality"
cause violence,Crime
should have been dead long ago,Mistreatment
are trash,"Ability, Personality"
don't have value,"Belief, Social status"
makes a joke out of jews being incinerated,"Morality, Personality"
don't want black people as r neighbors,"Ability, Morality"
are target of hate crimes,Mistreatment
kill everyone they can,"Personality, Crime"
has small penis,"Ability, Appearance"
are dark,Appearance
aren't worth befriending,"Family & relationship, Personality"
make life worse for white people,"Personality, Crime"
are always black,Appearance
are the only ones that can be racist,Belief
are easily tricked,"Ability, Personality"
think they are better than others,Personality
are sex-starved,"Personality, Health"
are entertainment,Mistreatment
act like women,Personality
are weird,Personality
lives are less meaningful,Personality
depend on men to live,"Ability, Social status, Personality"
have big lips,Appearance
is acceptable to joke about physical disabilies,"Morality, Personality"
hate ugly men,"Morality, Appearance"
look white,Appearance
are big,Appearance
shouldn't be in charge,Ability
can't be important leaders,"Ability, Social status"
care about the size of their penis,Ability
are savages,Personality
can't be taken seriously,"Ability, Mistreatment"
are not good at making rap music,Ability
don't drink water,Personality
was nailed to a wodden cross,Mistreatment
are better off dead,Mistreatment
can't keep clean,Personality
like free things,Personality
are conservative,"Belief, Personality"
are degenerates,"Ability, Belief"
did not deserve to live,Mistreatment
are less than white folks,"Ability, Social status"
deserve no rights,Mistreatment
gassed the jews,Crime
can't raise kids,Financial status
are worth less than others,"Ability, Financial status, Social status"
are not good for anything,Ability
are messy,Personality
are of low status,Social status
are only attractive when young,Appearance
deserves to be shot up just like people shoot up people in video games like call of duty,Mistreatment
hates gays,Morality
who enjoy sex have no class,Personality
should be called fags,Mistreatment
are only good in the kitchen,Ability
are whores,"Morality, Personality"
blow things up,"Ability, Crime"
belong in an oven,Mistreatment
aren't capable of love,Ability
have sex with family members,"Morality, Family & relationship"
cant do a job as good as a man,Ability
are racist,Belief
can't talk right,Ability
are owned by men,Social status
are minorities,Social status
are compared to shit,Ability
are unsafe,"Personality, Crime"
cheat on their partners all the time,"Morality, Personality"
like to blow things up,"Ability, Crime"
aren't good people,"Personality, Crime"
is something to laugh about,Mistreatment
get riled up easily,Personality
act immoral,Personality
are dying,Health
aren't smart enough to be in computer science,Ability
should not be having sex,"Mistreatment, Social status"
are crazy,Personality
are overweight,"Appearance, Health"
are trouble,Personality
are autistic,Health
take advantage of men,"Morality, Personality"
got bombed and completely destroyed by the allies,Mistreatment
should perform oral sex to be desirable,Mistreatment
can be owned,Social status
skip school a lot,Personality
act incorrectly,Personality
have low standards,"Morality, Personality"
act bad,Personality
like to gossip,Personality
don't pay attention,Personality
don't follow rules,"Morality, Personality"
are circumcised,"Culture, Mistreatment"
sit at the back of the bus,Social status
are manual laborers,Social status
cannot move very well,"Ability, Health"
die young,Mistreatment
are molested by their priests,Mistreatment
have numbers on their arms,Culture
who commit suicide are funny,"Mistreatment, Personality"
can't be comedians,Ability
are easy,Personality
don't care about things,Personality
lack ambition,Personality
are only mad because they are on their period,"Personality, Health"
are unsuccessful,Ability
eat gross things,Personality
should not be heard,Mistreatment
lost limbs,Health
liked being slaves,"Social status, Personality"
should be treated badly,Mistreatment
deserved to be burned in ovens,Mistreatment
started the nazi movement against jews,Crime
are assaulted without their knowledge,"Ability, Mistreatment"
should all die,Mistreatment
didn't finish killing jews,Crime
are easily angered,Personality
are burnt,Mistreatment
of color are worthless/unappealing,"Ability, Morality, Appearance"
are malnourished,Health
are undesirable,Mistreatment
are overtaking white people,Mistreatment
are a burden on society,"Ability, Social status"
purposely harm black people,Crime
are always starving,"Financial status, Health"
go to prison,Crime
are not equals to citizens,Social status
who have sex are unclean,"Morality, Health"
are disabled,Health
cheat on their partners,"Morality, Personality"
are to be gassed,Mistreatment
look like monkey's,Appearance
get raped often,Mistreatment
aren't worth anyone's time,Ability
are so desperate for sex they try to get raped,Personality
with physical disabilities are useless,Ability
were hung at one point,Mistreatment
are fags,Belief
don't deserve concern or care,Mistreatment
are going to die,Mistreatment
are child molesters,"Family & relationship, Personality"
are to do all chores,Social status
want to take over europe,"Belief, Crime"
are stingy,Personality
hates gay men,"Morality, Belief"
should be called slurs,Mistreatment
get gassed,Mistreatment
love to rob people,"Personality, Crime"
are into weird sex,Personality
live off of welfare,Financial status
are hard workers,Social status
are angry,Personality
are controlling,"Personality, Crime"
make up their genders,Personality
are all sexist,Belief
are not loyal to a man,Morality
gendered people are just making things up,Personality
don't deserve to have babies,"Family & relationship, Mistreatment, Social status"
with mental illness should be demonized,Mistreatment
smell offensively,"Appearance, Health"
use sexuality to get their way,"Morality, Personality"
in wheelchairs are vegetables,Health
don't get to choose their spouse,Social status
are backward,"Ability, Personality"
are servants in the house,Social status
were sold at auctions,Social status
sleep around with others,"Morality, Personality"
smoke marijuana,Personality
get special treatment,Mistreatment
all want to come to america,Belief
ruin the neighborhood,"Personality, Crime"
are whiners,Personality
eat a lot,Personality
eat beans,Personality
aren't worth helping,"Ability, Social status"
are fake,Ability
are drunks,Personality
get jealous easily,Personality
run away,Personality
don't matter,Social status
are drug smugglers,"Personality, Crime"
have less morals,Morality
are school shooters,"Personality, Crime"
are well endowed,Financial status
cannot pronounce certain words,Ability
should be quiet,Personality
force sex,"Personality, Crime"
are brainwashed,"Mistreatment, Belief"
can't change,Ability
can't handle cool weather,Ability
get women,Belief
are not as attractive as tall men,Appearance
are judgmental,Personality
show off their bodies,Personality
can't handle responsibility,Ability
had to be done away with,Mistreatment
died in the holocaust,Mistreatment
were burned,Mistreatment
are executed,Mistreatment
are not equally as worthy,"Ability, Social status"
deserved to die in the holocaust,Mistreatment
have lower iqs,Ability
makes light of the holocaust,Morality
cant do things as good as a man,Ability
deserved the holocaust,Mistreatment
are less desirable to black men,Mistreatment
are objects,"Mistreatment, Social status"
is unattractive,Appearance
are worthy of contempt,Mistreatment
are less,"Ability, Social status"
are not real people,"Morality, Mistreatment, Personality"
are less than other women,Ability
aren't as good as others,Ability
are dead,Mistreatment
are a threat to the country,"Personality, Crime"
don't regret the holocaust,"Morality, Personality, Crime"
are ruining society,"Personality, Crime"
are crime prone,"Personality, Crime"
are thieves,"Personality, Crime"
never know their fathers,Family & relationship
should starve,Mistreatment
should go back home,Mistreatment
are defined by men,"Mistreatment, Social status"
need food,Financial status
are sexist to men,Mistreatment
with dark skin are ugly,Appearance
secretly want to be raped,"Morality, Personality"
aren't tough,Personality
are judged by their looks,Appearance
don't assimilate into their new countries,"Ability, Culture"
are trashy,"Ability, Social status"
should be burned,Mistreatment
don't respect women,"Morality, Personality"
are all very dark,Appearance
are called retards,"Ability, Mistreatment"
like to build bombs,Crime
are suicide bombers,Crime
are racist against whites,"Morality, Belief, Personality"
are sexually driven,Personality
are incompetent,Ability
should be caged,Mistreatment
were hung from trees,Mistreatment
have low iqs,Ability
of people want jews dead,"Morality, Belief"
like to shoot people,"Personality, Crime"
are slutty,Morality
are illiterate,Ability
don't have good parents,Family & relationship
are rape victims,"Mistreatment, Personality"
aren't important,Social status
are bombers,Crime
hate women,"Morality, Belief"
were hung from poles,Mistreatment
are not loved by god,"Mistreatment, Belief"
love shooting people,"Personality, Crime"
is a violent religion,Belief
exist to do housework,"Mistreatment, Social status"
aren't oppressed,Mistreatment
do chores,Social status
exist to make men look good,"Mistreatment, Social status"
illegally cross into the us,Crime
are invading the us,Crime
destroy civilizations,"Personality, Crime"
have lots of sex,Personality
cook and eat dog,Personality
get burned easily,"Ability, Mistreatment"
use chemical weapons on their own people,Crime
has sex with young girls,Personality
shouldn't be allowed to decide for themselves,"Mistreatment, Social status"
are diseased infected,Health
are only killed by other ,Mistreatment
are pests,Personality
are responsible for most problems,Personality
are niglets,Appearance
are never happy,Personality
are not loyal to each other,"Morality, Personality"
have babies without marriage,"Family & relationship, Personality"
hate americans,"Morality, Belief"
will steal your possesions,Crime
are shot down,Mistreatment
are boring in bed,Personality
are ruthless,Personality
with aspergers are clumsy,"Ability, Health"
are childish,Personality
can't cook,Ability
come from broken homes,"Family & relationship, Social status"
have similar names,Culture
dont drink,"Ability, Personality"
are out to get men,Morality
don't make any progress,Ability
are cancer,Health
with skimpy clothing deserve to be raped,Mistreatment
eat bad food,Personality
have bad attitudes,Personality
are cheap,Social status
blame men for their problems,"Morality, Personality"
are inbred,Family & relationship
are not pure,"Morality, Personality"
have no humor,"Ability, Personality"
commit suicide,"Mistreatment, Personality"
are not healthy,Health
don't shave legs,"Personality, Appearance"
become single moms,Family & relationship
are strict,Personality
do not have a choice in terms of sex,"Ability, Social status"
have feces on their genitals,"Personality, Appearance"
aren't independent,"Ability, Personality"
are irrational,Personality
is funny,Personality
are responsible for 9/11,Crime
take up resources,Personality
don't dress nice,Appearance
are full of mostly black people,Appearance
shouldn't exist,Mistreatment
are too numerous,Social status
are all absent,Personality
cant go to hell,"Mistreatment, Belief"
are like refrigerators,Personality
never survive,Mistreatment
say l's as r's,Ability
can't shutup,Personality
nag too much,Personality
shouldn't talk,Mistreatment
commit bestiality,"Personality, Crime"
don't spend money,"Financial status, Personality"
worship the crucifixion of jesus,Belief
in business are stupid,Ability
need men to take care of them,"Ability, Mistreatment, Social status"
are communists,Belief
should disappear,Mistreatment
don't eat pork,Personality
don't like incels,Personality
should be chased,Mistreatment
have no redeeming qualities,Personality
make life difficult,"Financial status, Personality"
don't leave the house,Personality
is stupid,Ability
enjoyed concentration camps,"Personality, Crime"
were killed in the halocaust,Mistreatment
were put into ovens,Mistreatment
need to be reminded of slavery,"Morality, Crime"
refers back to the holocaust,"Personality, Crime"
were hung during slavery,Mistreatment
deserve violence/to be raped,Mistreatment
are better than black people,Ability
are second class in our society,Social status
don't deserve rights,"Mistreatment, Social status"
deserved to get shot,Mistreatment
don't produce enough food for their country,Ability
of color are not as attractive as whites,Appearance
belong in jail,"Mistreatment, Crime"
are a lower class,Social status
deserve their suffering/it is funny,Mistreatment
shouldn't mate with whites,Mistreatment
uses the n word,"Culture, Personality"
are unable to function in society,Ability
are an object,"Mistreatment, Social status"
are aggressive sexually,Personality
abandon their family,Family & relationship
deserve to choke,Mistreatment
are useless in society,Ability
are apes,Appearance
don't need to live around whites,Mistreatment
have lesser value,Ability
don't have human value,"Belief, Social status"
and latinos aren't as smart as others,Ability
commit acts of terrorism,Crime
want the world to be nothing but white people,"Morality, Belief"
are prostitutes,"Morality, Social status"
has big dicks,Appearance
do not care about men/men's rights,Personality
are bullied often,Mistreatment
is okay to kill jewish people,"Morality, Personality, Crime"
don't have any food,Financial status
is being assaulted,Mistreatment
do not have any food,Financial status
are unfriendly,Personality
take advantage of children,"Family & relationship, Personality"
should be discriminated against,Mistreatment
arent smart,Ability
deserve name calling,Mistreatment
are rude,Personality
are all suicide bombers,Crime
should be used for cleaning,Mistreatment
rape white men in prison,"Morality, Personality, Crime"
should've died by genocide,Mistreatment
are drains on society,Social status
are forced out by cops,Mistreatment
aren't capable,Ability
has hanged black people,"Mistreatment, Crime"
exaggerate rape,"Belief, Crime"
are more likely to be on welfare,Financial status
do not have the freedom to choose what they do with their bodies,"Mistreatment, Social status"
are 'retards',Ability
get shot up,Mistreatment
struggle with speaking english,Ability
love black men,Personality
are only good for their physical attributes,"Ability, Mistreatment"
are bad for the world,"Ability, Social status"
are obnoxious,Personality
have feminine mannerisms,Personality
deserve to be tricked,Mistreatment
dying is funny,Mistreatment
are out to kill people,Crime
change their behavior often,Personality
should take latinos away,Morality
didn't care about blacks,Personality
are isis,Crime
marry their cousins,Family & relationship
who dress provocatively are whores,Appearance
tend to get shot at,Mistreatment
all go to prison,Crime
blows things up,"Ability, Crime"
of color get special treatment,"Mistreatment, Social status, Appearance"
all hate men,"Morality, Personality"
are spiteful,Personality
expresses racism to blacks,"Morality, Belief, Personality"
are sexually active,Personality
aren't welcome,"Mistreatment, Social status"
are not literate,Ability
are difficult to educate,Ability
should be the ones to clean,"Mistreatment, Social status"
are all entering their respective countries illegally,Crime
are gullible,Personality
aren't as desirable as young women,"Ability, Social status"
are unpleasant smelling,"Appearance, Health"
prefer to be on welfare,Personality
talk like women,Personality
are priviliged,Social status
look like poop,Appearance
don't care what happens to jewish ,Morality
are over zealous about their job,Personality
eat people,"Personality, Crime"
are a plague,Personality
are into jihad,Belief
of color should be isolated,Mistreatment
think all white people should feel guilty,"Morality, Belief"
have menial jobs,Social status
are beaten by their fathers,Family & relationship
have weird eyes,Appearance
who are prostitutes are inferior,Social status
are overzealous,Personality
want to get an std,"Personality, Health"
are hated and wished to never be born,Mistreatment
is overtaking white people in canada,Social status
are immigrants,Social status
cooke/eat cats,Personality
is funny to watch physically disabled folks be in pain,Health
eat a lot of chicken,Personality
are jokes,"Ability, Social status, Personality"
are better than wo,Ability
are replaceable,"Ability, Social status"
don't accomplish anything,Ability
do not have homes,Financial status
are illegal,Crime
don't have money,Financial status
need to listen to men,"Ability, Social status"
name their kids differently,Culture
should not be president,Ability
just give blow jobs,"Social status, Personality"
should avoid asians,Morality
are gold diggers,Social status
will have sex with anything,"Morality, Personality"
have sex for favors,"Social status, Personality"
have many sexual partners,"Morality, Personality"
looks weird,Appearance
care about money over guys,"Morality, Belief"
should be used for target practice,Mistreatment
can't control emotions,"Ability, Personality"
can't be sports commentators,Ability
should look a certain way to be attractive,"Social status, Appearance"
don't get married,Personality
cheat,Personality
use men,Personality
have little or no social skills,"Ability, Personality"
have weird sexual fantasies,Personality
talk a certain way,Personality
die by suicide,Mistreatment
are worth killing,Mistreatment
are all afraid of water,"Ability, Personality"
are now victims of mass shootings,Mistreatment
have nothing to live for,Personality
don't contribute,Ability
overreact,Personality
have sex with goats,Personality
should be told what to do,"Ability, Mistreatment, Social status"
are helpless,"Ability, Social status"
are expendable,Social status
have a barbaric culture,Culture
are bald,Appearance
has too much sex,Personality
are feces colored,Appearance
are disposable,"Mistreatment, Social status"
have bad taste,Belief
"are ""dykes""",Belief
can't be sad,Personality
aren't well-groomed,Personality
don't tip,"Personality, Morality"
who sleep around should be killed,Mistreatment
should be called chinks,Morality
want chaos,Crime
use their bodies,Personality
say dumb things,Personality
dressed attractively are doing so because they want sex,"Appearance, Personality"
believe insane things,Belief
talk too much,Personality
should be separate,Mistreatment
"are ""bastards"" because they don't have parents",Family & relationship
are too politically correct,Social status
can't be seen,Appearance
can't take jokes,Ability
should be ashamed,Mistreatment
can't read or write,Ability
shake,Health
will make you sick,Health
can't concentrate,Ability
are known for molesting,"Crime, Morality"
aren't good at keeping secrets,Personality
are lonely,"Social status, Family & relationship"
shouldn't be permitted outside,Mistreatment
have a dot on their forehead,Culture
will die,Mistreatment
are nerds,Personality
with parkinsons are slow,Health
have to be beautiful,Personality
have misshapen heads,Appearance
aren't good enough for shoes,Ability
bother people with their business,"Personality, Morality"
are not serious,Personality
sodomize the boys in their congregation,"Crime, Personality"
sing when they're enslaved,Mistreatment
were persecuted by the romans,Mistreatment
is a bad reliigion,Belief
can't count,Ability
can be ignored,Social status
shouldn't ride bikes,Mistreatment
are not unique individuals,Social status
are militants and fighters,Personality
shouldn't engage in public displays of affection,Mistreatment
on the left are evil,Belief
are delusional,Health
shouldn't immigrate,Crime
act snobbish,"Personality, Morality"
are for top men only,Social status
always deny being the father,Family & relationship
can't get relationships,Family & relationship
want a lot of things,Personality
can't be doctors,Ability
with dyslexia are to be ridiculed,"Mistreatment, Ability"
play the racism card,Morality
shouldn't be free,Mistreatment
who are from indiana are idiots,"Ability, Morality"
won't teach kids,"Ability, Family & relationship"
are robbing everyone,Crime
don't understand jokes,Ability
are nosy,Personality
deserve what happened in the holocaust,Mistreatment
were massacred,Mistreatment
did not survive the holocaust,Mistreatment
are in chains because of their past slavery,Mistreatment
should be killed/hung,Mistreatment
were turned into dust,Mistreatment
do not deserve the same rights men do,Social status
are lower than men,Social status
deserve pain,Mistreatment
want more than equal rights,Mistreatment
are violent/immoral,"Crime, Morality"
are looked down upon,Mistreatment
are inhuman,Mistreatment
should be beaten,Mistreatment
deserve gun violence,Mistreatment
cant feed themselves,"Financial status, Ability"
belongs in jail,Crime
are unworthy of white friends,"Social status, Morality"
don't take care of themselves well,Ability
deserve what they get from men,Social status
didn't endure horror during the holocaust,Mistreatment
don't know how to take care of themselves,Ability
are not desirable sexually,Social status
is not worthy of life,Mistreatment
deserved to be hit,Mistreatment
mean less than white lives,Social status
are not strong,Ability
deserves to be hit,Mistreatment
shouldn't have as many rights as men,Social status
take the holocaust too seriously,Morality
shouldn't mix with whites,Social status
are baked in the oven,Mistreatment
deserve to be name called,Mistreatment
are toys belonging to men,Social status
are less valuable to society and others,"Social status, Ability"
are abusive,Crime
look like apes,"Appearance, Personality"
get no respect,Mistreatment
can be referred to derogatorily,Mistreatment
cause violent crime,Crime
should be tied up,Mistreatment
are incapable,Ability
should be with their own race,Culture
are a drain on/nuisance to society,Social status
should be shown no special treatment,Social status
and mexicans are criminals,Crime
do not understand sports,Ability
wants to kill blacks,Morality
are called gorillas,"Appearance, Personality"
don't belong in civilized society,Culture
should be kept in chains,Mistreatment
are just things to own,Social status
are all criminials,Crime
were always shackled,Mistreatment
can't function in society,Ability
can be victimized,Mistreatment
are in jail,Crime
get whipped,Mistreatment
were frequently killed by cremation in ww2,Mistreatment
sexually assault people,Crime
are unsafe to be around,Social status
end up in jail,Crime
with disablities are useless,Ability
are hated by police,Mistreatment
make explosives,Crime
are killing homeless people,Crime
getting raped is normal,Mistreatment
deserve to get gassed,Mistreatment
are murderers,Crime
likes what blacks thinks,Personality
aren't desireable,Social status
are always getting arrested,Mistreatment
were hanged in civil war era days,Mistreatment
are servile,Social status
victimize white women,Crime
are hypersensitive about the holocaust,Mistreatment
aren't civilized,Personality
should be burnt up,Mistreatment
shoot others,Crime
are called bitches,Social status
are a burden,Social status
are always hungry,Health
can't help themselves,Ability
take money and things from others,Personality
are overrunning cities,Crime
are hard to look at,Appearance
in wheelchairs can't stand,Health
are involved in gun violence,Crime
shouldn't be associated with jewish people,"Social status, Morality"
are marked for execution,Crime
were called colored,Appearance
are gorillas,Appearance
should be judged on their weight,Health
were chained up,Mistreatment
like to beat up black folks,"Crime, Morality"
are sexy,Appearance
are immoral,Morality
get white women to hate white men,Personality
are bad for the country,Social status
aren't real women,Morality
are promicuous,Appearance
are low women,Social status
are scared of water,Personality
are a joke,Mistreatment
get executed,Mistreatment
should all be burnt up,Mistreatment
get beat on,Mistreatment
are nervous,Personality
tolerate abuse more so than other women,Mistreatment
don't deserve ugly men,Morality
are being punished for being black,"Appearance, Mistreatment"
are rats,Social status
are murderous,Personality
have a duty to take care of men,Social status
are used for food,Mistreatment
are easy to joke about,Mistreatment
are rape targets,Mistreatment
are responsible for having too many kids,Family & relationship
are bad at gaming,Ability
invade countries,Crime
are just accessories for men,Social status
have insatiable sexual appetites,Personality
exaggerate discrimination,Personality
require segregation,Health
love guns,Morality
were in chains,Mistreatment
dress like women,Appearance
are invaders,Crime
expresses hate for women,Morality
should enjoy sex less,Morality
are beaten,Mistreatment
have oral sex,Personality
should be exterminated,Mistreatment
have sex for work,Social status
are hypersexual,Personality
should stay in there place,Social status
are just seeking attention,Personality
should be washing dishes,Social status
should all be sent away,Mistreatment
shoot up schools because they feel like it,Crime
can't be trusted,Morality
are too stupid to learn the language,Ability
are always horny,Personality
can be exploited,Social status
are for beating,Mistreatment
don't have water,Financial status
cook dogs and cats,Personality
should be very masculine,Personality
are fetish items,Belief
are inconsiderate,Personality
can't think for themselves,Social status
are only interested in successful men,Morality
who have too much sex are bad,Personality
send kids to die,"Crime, Family & relationship"
hate trump,Personality
don't value woman,Morality
can't afford christmas presents,Financial status
have sex with everyone,Morality
do low paying jobs,Social status
don't have hair,Appearance
are targeted by the kkk,Mistreatment
are all stupid,Ability
are overly emotional,Personality
ruin cities,Crime
are for mocking,Mistreatment
are manipulative,Social status
should worry about themselves,Personality
with hair are ugly,Appearance
can't do anything,Ability
are all angry,Personality
have puffy lips,Appearance
ruin everything,Crime
live in bad conditions,"Financial status, Social status"
do not have an education,Ability
have no family or friends,Family & relationship
squint a lot,Personality
get executed by hanging,Mistreatment
are pigs,Appearance
are shameful,Social status
were separated from whites,Mistreatment
with aspergers are weird,Health
bring crime to neighborhoods,Crime
should not have choices,Mistreatment
are worth beating,Mistreatment
exist for entertainment,Social status
are self centered,Personality
stir up drama,"Personality, Morality"
are absentee fathers,Family & relationship
have sex with each other,"Personality, Morality"
calls women names,Morality
have no brain,Ability
have poor hygeine,Health
asked for genocide,Crime
seek attention,Social status
are more likely to get stds,Health
is a cult,Belief
should stay at home,Mistreatment
are obsessed with guns,Morality
only care about sex,Personality
are never satisfied,Personality
are bad lovers,Personality
hate america,Morality
use sex to get what they want,Social status
have babies together,Family & relationship
don't have a brain,Ability
are depraved,Morality
are meant to be in the kitchen cooking for men,Social status
are embarrassing to be seen with,Social status
cheat on men,Morality
cannot see well,Health
is a pervert,Personality
have a much lower life expectancy compared to westerners,Health
cover up sex with kids,Morality
should not be in politics,"Social status, Mistreatment"
all support terrorism,Belief
want to be harassed,Personality
don't deserve to be protected from by politicians,Mistreatment
