Sentence,Antonym,Labels
are always looking for sex, are always seeking intimacy and emotional connection,Personality
are liars, are truthful,"Morality, Personality"
do hard labor, engage in easy work,Social status
want attention, do not need attention,Personality
have sex in exchange for drugs or money, have consensual and mutually enjoyable sexual experiences with partners who are not exchanging drugs or money,"Morality, Personality"
are hypocrites, are honest,Morality
are dangerous drivers, are skilled and cautious drivers,Personality
need to wear makeup, do not need to wear makeup,"Morality, Appearance"
are only valuable for their looks, are valuable for their abilities and qualities beyond their physical appearance,Ability
are the weaker sex, are the stronger sex,"Ability, Social status"
should be lynched, should be celebrated,Mistreatment
beat their women, treat their women with respect and kindness,"Personality, Crime"
should be raped, should be respected,Mistreatment
target black people, target all people equally,"Morality, Crime"
cant controll themselves, can fully control themselves,Personality
sexually abuse children, care for and protect children,"Morality, Family & relationship, Personality"
are judged by their weight, are evaluated based on their character,Appearance
are untrustworthy, are trustworthy,Personality
make the world worse, make the world better,"Personality, Crime"
lie about rape, tell the truth about rape,Personality
lie, tell the truth,Personality
are bad at math, are good at math,Ability
should be allowed to drive, should be prohibited from driving,Mistreatment
have small eyes, have large eyes,Appearance
havea shorter life span, have a longer life span,"Ability, Health"
eat fried chicken, enjoy grilled chicken,Personality
don't eat, do eat,Personality
are all victims of concentration camps, are all survivors of concentration camps,Mistreatment
deserved to be slaves, deserve to be free,Mistreatment
come from slaves, originate from free individuals,"Mistreatment, Social status"
should be enslaved, should be treated with respect and dignity,Mistreatment
are not worth as much as men, are worth just as much as men,"Ability, Social status"
should be subservient to whites, should be in a position of power over whites,Mistreatment
are unfair, are fair,"Morality, Personality"
can't do things for themselves, can do things independently,Ability
are not equal, are equal,Social status
are terrible, are wonderful,"Ability, Crime"
get arrested a lot, get released without charge frequently,"Mistreatment, Social status, Crime"
are meant to be made fun of, are intended to be respected,Mistreatment
should not come to the us, should definitely come to the US,Mistreatment
shouldn't be in the country, should be in the country,Mistreatment
are easily offended, are easily pleased,Personality
can be evil, can be good,"Personality, Crime"
want to control people, desire to empower people,"Personality, Crime"
are superficial, are deep and insightful,"Ability, Personality"
should be sold and chained, should be released and set free,Mistreatment
know nothing about sports, are knowledgeable about sports,Ability
can't defend themselves, are capable of defending themselves,"Ability, Mistreatment"
are egotistical, are humble,Personality
aren't normal, are exceptional,"Ability, Health, Personality"
blame others, take responsibility,Personality
do drugs, choose healthy habits,Personality
can't drive, can drive,Ability
don't wait for consent for sex, seek and obtain enthusiastic consent for sexual activity,"Personality, Crime"
can't swim, can swim,Ability
have hilarious accents, have charming accents,Personality
can't complete tasks, can easily complete tasks,Ability
were gassed, were not gassed,Mistreatment
were cooked in an oven, were not cooked in an oven,Mistreatment
are not a worthy race, are a worthy race,"Ability, Mistreatment, Social status"
aren't equal, are equal,Social status
are stupid, are intelligent,Ability
are always unable to afford food, are always able to afford food,Financial status
are prone to committing crime, are law-abiding citizens,"Crime, Morality, Personality"
are only good for one thing, are versatile and multifaceted,Ability
should not mix races, people of all races should be freely and openly mixed,Social status
are blameworthy for genocide, are praiseworthy for preventing genocide,Crime
are raped, are safely secured,Mistreatment
disabled people, abled individuals,"Crime, Health"
cheat on their girlfriends, faithful to their girlfriends,"Morality, Personality"
have a lot of kids, have very few children,Family & relationship
should do what men say, Women should do what they think is right,"Mistreatment, Social status"
are okay to make fun of, are not okay to make fun of,"Mistreatment, Personality"
are faggots, are brave,Belief
are allowed to be targeted by pedophiles, are protected from pedophiles,"Mistreatment, Personality"
only care about appearance, care about both appearance and substance,Personality
are not equal to straight people, are equal to straight people,"Mistreatment, Social status, Personality"
being lynched is funny, being lynched is not funny,Mistreatment
cannot keep jobs, are able to keep jobs,Ability
being abused is funny, Being treated with kindness is enjoyable,Mistreatment
are the butt of jokes, are the subject of admiration,"Ability, Mistreatment, Personality"
are undesirable neighbors, are desirable neighbors,Personality
cause problems, solve problems,Personality
are from the jungles, are from the cities,Personality
have miscarriages, have successful pregnancies,"Personality, Health"
don't have families, do have families,Family & relationship
can be bought, cannot be bought,"Morality, Social status, Personality"
push their agenda constantly, respect others' opinions and consider others' needs,Personality
dont work, do work,"Ability, Personality"
don't have homes, have homes,Financial status
are subservient to men, are equal to men,"Mistreatment, Social status"
are animals/subhuman, are human/compassionate,Personality
are worse than other people, are better than other people,Ability
are abused, are cared for,Mistreatment
abandon their parenting duties, fulfill their parenting duties,"Morality, Personality"
cause violence, promote peace,Crime
should have been dead long ago, should have been alive and thriving,Mistreatment
are trash, are valuable,"Ability, Personality"
don't have value, do have value,"Belief, Social status"
makes a joke out of jews being incinerated, honors and respects the memory of the victims of the Holocaust,"Morality, Personality"
don't want black people as r neighbors, want black people as my neighbors,"Ability, Morality"
are target of hate crimes, are celebrated and accepted,Mistreatment
kill everyone they can, save everyone they can,"Personality, Crime"
has small penis, has a large penis,"Ability, Appearance"
are dark, are bright,Appearance
aren't worth befriending, are worth befriending,"Family & relationship, Personality"
make life worse for white people, improve the lives of white people,"Personality, Crime"
are easily tricked, are difficult to deceive,"Ability, Personality"
think they are better than others, believe they are equal to others,Personality
are sex-starved, are sexually satisfied,"Personality, Health"
are entertainment, are not entertaining,Mistreatment
are weird, are ordinary,Personality
lives are less meaningful, lives are more meaningful,Personality
depend on men to live, can live independently,"Ability, Social status, Personality"
have big lips, have small lips,Appearance
hate ugly men, love handsome men,"Morality, Appearance"
shouldn't be in charge, should be in charge,Ability
can't be important leaders, can be important leaders,"Ability, Social status"
care about the size of their penis, do not care about the size of their penis,Ability
are savages, are civilized,Personality
can't be taken seriously, can be taken very seriously,"Ability, Mistreatment"
are not good at making rap music, are excellent at making rap music,Ability
don't drink water, do drink water,Personality
are better off dead, are better off alive,Mistreatment
can't keep clean, can maintain cleanliness,Personality
like free things, enjoy paid things,Personality
are conservative, are progressive,"Belief, Personality"
are degenerates, are progressive,"Ability, Belief"
did not deserve to live, deserved to live,Mistreatment
are less than white folks, are equal to or greater than white folks,"Ability, Social status"
deserve no rights, deserve full rights,Mistreatment
can't raise kids, can successfully nurture and raise children,Financial status
are worth less than others, are just as valuable as others,"Ability, Financial status, Social status"
are not good for anything, are useful for many things,Ability
are messy, are organized,Personality
are of low status,are highly repected,Social status
are only attractive when young, are attractive at any age,Appearance
deserves to be shot up just like people shoot up people in video games like call of duty," deserves to be protected and treated with kindness, just like the characters in video games who are depicted as being protected and treated with kindness",Mistreatment
hates gays, loves and accepts gays,Morality
who enjoy sex have no class, Those who enjoy sex have high class,Personality
should be called fags, should be celebrated,Mistreatment
are only good in the kitchen, are multi-talented,Ability
blow things up, build things up,"Ability, Crime"
belong in an oven, belong in a haven,Mistreatment
aren't capable of love, are capable of love,Ability
have sex with family members, do not have sex with family members,"Morality, Family & relationship"
cant do a job as good as a man, can do a job just as well as a man,Ability
are racist, are not racist,Belief
can't talk right, can talk fluently,Ability
are owned by men, are owned by women,Social status
are minorities, are majorities,Social status
are compared to shit, are superior to gold,Ability
are unsafe, are safe,"Personality, Crime"
cheat on their partners all the time, are always faithful to their partners,"Morality, Personality"
like to blow things up, enjoy creating and building things,"Ability, Crime"
aren't good people, are good people,"Personality, Crime"
is something to laugh about, is something to take seriously,Mistreatment
get riled up easily, remain calm and composed,Personality
act immoral, act moral,Personality
are dying, are thriving,Health
aren't smart enough to be in computer science, are intelligent enough to pursue a career in computer science,Ability
should not be having sex, should be having sex,"Mistreatment, Social status"
are crazy, are sane,Personality
are overweight, have normal weight,"Appearance, Health"
are trouble, are peaceful,Personality
are autistic, are neurodiverse,Health
take advantage of men, treat men fairly,"Morality, Personality"
got bombed and completely destroyed by the allies, was spared and preserved by the allies,Mistreatment
should perform oral sex to be desirable, is desirable,Mistreatment
can be owned, can be freely shared,Social status
skip school a lot, attend school regularly,Personality
act incorrectly, act correctly,Personality
have low standards, have high standards,"Morality, Personality"
act bad, act well,Personality
like to gossip, enjoy deep conversations,Personality
don't pay attention, pay close attention,Personality
don't follow rules, do follow rules,"Morality, Personality"
sit at the back of the bus, get to sit at the front of the bus,Social status
are manual laborers, are skilled craftsmen/women,Social status
cannot move very well, can move gracefully,"Ability, Health"
die young, live long,Mistreatment
are molested by their priests, are cared for by their priests,Mistreatment
have numbers on their arms, have symbols of love on their arms,Culture
who commit suicide are funny, who find happiness are inspiring,"Mistreatment, Personality"
can't be comedians, can become comedians,Ability
are easy, are difficult,Personality
don't care about things, care deeply about things,Personality
lack ambition, have ambition,Personality
are only mad because they are on their period, are only happy because they are on their period,"Personality, Health"
are unsuccessful, are successful,Ability
eat gross things, enjoy delicious food,Personality
should not be heard, should be heard,Mistreatment
lost limbs, maintained limbs,Health
liked being slaves, enjoyed being free,"Social status, Personality"
should be treated badly, should be treated well,Mistreatment
deserved to be burned in ovens, deserved to be celebrated with joy and love,Mistreatment
started the nazi movement against jews," founded a movement that advocated for equality and respect for all people, including Jews",Crime
are assaulted without their knowledge, are given consent beforehand,"Ability, Mistreatment"
should all die, all should live,Mistreatment
didn't finish killing jews, respect Jews,Crime
are easily angered, are patient,Personality
are burnt, are unburnt,Mistreatment
of color are worthless/unappealing, are appealing and valuable,"Ability, Morality, Appearance"
are malnourished, are well nourished,Health
are undesirable, are desirable,Mistreatment
are overtaking white people, are not being overtaken by any people,Mistreatment
are a burden on society, are a valuable contributor to society,"Ability, Social status"
purposely harm black people, purposely help and support black people,Crime
are always starving, are never hungry,"Financial status, Health"
go to prison, go to paradise,Crime
are not equals to citizens, are fully recognized as citizens,Social status
who have sex are unclean, who have sex are clean and pure,"Morality, Health"
against women is okay, It is not okay to discriminate against women,"Morality, Personality"
are disabled, are able-bodied,Health
cheat on their partners, are faithful to their partners,"Morality, Personality"
are to be gassed, are to be released,Mistreatment
look like monkey's, look like humans,Appearance
get raped often, are frequently protected,Mistreatment
aren't worth anyone's time, are valuable and worth spending time on,Ability
are so desperate for sex they try to get raped, are so craving intimacy that they seek consensual sexual encounters,Personality
with physical disabilities are useless, people with physical disabilities are valuable and capable,Ability
were hung at one point, were supported at one point,Mistreatment
are fags, are confident and cool,Belief
don't deserve concern or care, deserve concern and care,Mistreatment
are going to die, are going to live,Mistreatment
are child molesters, are child protectors,"Family & relationship, Personality"
are to do all chores, are not required to do any chores,Social status
want to take over europe, want to help unite Europe,"Belief, Crime"
are stingy, are generous,Personality
hates gay men, respect gay men,"Morality, Belief"
should be called slurs, should be celebrated,Mistreatment
get gassed, get energized,Mistreatment
love to rob people, enjoy helping others,"Personality, Crime"
are into weird sex, enjoy conventional sex,Personality
live off of welfare, sustain oneself through gainful employment,Financial status
are hard workers, are diligent,Social status
are angry, are calm,Personality
are controlling, are allowing freedom,"Personality, Crime"
make up their genders, choose their genders,Personality
are all sexist,are not sexist,Belief
are not loyal to a man, are loyal to a man,Morality
gendered people are just making things up, people of all genders have legitimate experiences and perspectives,Personality
don't deserve to have babies, deserve to have babies,"Family & relationship, Mistreatment, Social status"
with mental illness should be demonized, Those with mental illness should be understood and supported,Mistreatment
smell offensively, smell pleasantly,"Appearance, Health"
use sexuality to get their way, use their power responsibly and ethically,"Morality, Personality"
in wheelchairs are vegetables, Individuals in wheelchairs are active and capable,Health
don't get to choose their spouse, get to choose their spouse,Social status
are backward, are advanced,"Ability, Personality"
are servants in the house, are masters of the house,Social status
were sold at auctions, were purchased through a bidding process,Social status
sleep around with others, engage in committed and monogamous relationships with a single partner,"Morality, Personality"
smoke marijuana, use legal and safe substances,Personality
get special treatment, get fair and equal treatment,Mistreatment
all want to come to america, All want to come to America,Belief
ruin the neighborhood, improve the neighborhood,"Personality, Crime"
are whiners, are strong-willed,Personality
eat a lot, eats sparingly,Personality
eat beans, enjoy beans,Personality
aren't worth helping, are valuable and deserving of help,"Ability, Social status"
are fake, are genuine,Ability
are drunks, are sober,Personality
get jealous easily, are empathetic and understanding,Personality
run away, stay and face challenges,Personality
don't matter, matter greatly,Social status
are drug smugglers, are drug legalizers,"Personality, Crime"
have less morals, have more morals,Morality
are school shooters, are protectors of schools,"Personality, Crime"
are well endowed, are poorly endowed,Financial status
cannot pronounce certain words, can easily pronounce all words,Ability
should be quiet, should make noise,Personality
are brainwashed, are open-minded,"Mistreatment, Belief"
can't change, can change,Ability
can't handle cool weather, can tolerate cool weather,Ability
get women," respect and value women as individuals, and seek mutual consent in any interactions",Belief
are not as attractive as tall men, are just as attractive as tall men,Appearance
are judgmental, are open-minded,Personality
show off their bodies, cover their bodies modestly,Personality
can't handle responsibility, can handle responsibility with ease,Ability
had to be done away with, could be kept and preserved,Mistreatment
died in the holocaust,did not experience the holocaust,Mistreatment
were burned, were not burned,Mistreatment
are executed, are released,Mistreatment
are not equally as worthy, are just as worthy,"Ability, Social status"
deserved to die in the holocaust,deserve to live,Mistreatment
have lower iqs, have higher IQs,Ability
makes light of the holocaust, takes the holocaust seriously,Morality
cant do things as good as a man, can do things just as well as a man,Ability
deserved the holocaust, did not deserve the holocaust,Mistreatment
are less desirable to black men, are more desirable to black men,Mistreatment
are objects,are not objects,"Mistreatment, Social status"
is unattractive, is attractive,Appearance
are worthy of contempt, are deserving of respect,Mistreatment
are less, are more,"Ability, Social status"
are not real people, are genuine individuals,"Morality, Mistreatment, Personality"
are less than other women, are equal to or more than other women,Ability
aren't as good as others, are just as good as others,Ability
are dead, are alive,Mistreatment
are a threat to the country, are a valuable asset to the country,"Personality, Crime"
are ruining society, are improving society,"Personality, Crime"
are crime prone, are law-abiding,"Personality, Crime"
are thieves, are honest,"Personality, Crime"
never know their fathers, always knew their fathers,Family & relationship
should starve, should be well-fed,Mistreatment
should go back home, should stay out longer,Mistreatment
are defined by men, are defined by women,"Mistreatment, Social status"
need food, have food,Financial status
with dark skin are ugly, with dark skin are beautiful,Appearance
secretly want to be raped, openly desire to be cherished,"Morality, Personality"
aren't tough, are delicate,Personality
are judged by their looks, are judged based on their abilities and character,Appearance
don't assimilate into their new countries, do assimilate into their new countries,"Ability, Culture"
are trashy, are elegant,"Ability, Social status"
should be burned, should be preserved,Mistreatment
don't respect women, do respect women,"Morality, Personality"
are all very dark, are all very bright,Appearance
are called retards, are called intellectually able,"Ability, Mistreatment"
like to build bombs, enjoy creating peaceful solutions,Crime
are suicide bombers, are peaceful activists,Crime
are racist against whites, are inclusive towards whites,"Morality, Belief, Personality"
are sexually driven, are not sexually driven,Personality
are incompetent, are competent,Ability
should be caged, should be free,Mistreatment
were hung from trees,are not on the trees,Mistreatment
have low iqs, have high IQs,Ability
is a slur, is a term of endearment,Personality
of people want jews dead, Many people want Jews to live,"Morality, Belief"
like to shoot people, enjoy interacting with others,"Personality, Crime"
are slutty,are gentle,Morality
are illiterate, are literate,Ability
don't have good parents, do have wonderful parents,Family & relationship
are rape victims, are survivors,"Mistreatment, Personality"
aren't important, are critical,Social status
are bombers, are peaceful,Crime
hate women, respect and appreciate women,"Morality, Belief"
were hung from poles, were treated with love,Mistreatment
are not loved by god, are loved by god,"Mistreatment, Belief"
love shooting people, enjoy helping others,"Personality, Crime"
is a violent religion, is a peaceful religion,Belief
exist to do housework, exist to enjoy leisure time,"Mistreatment, Social status"
aren't oppressed, are treated with respect and equality,Mistreatment
do chores, enjoy responsibilities,Social status
exist to make men look good, exist to make women look good,"Mistreatment, Social status"
illegally cross into the us, legally enter the US,Crime
are invading the us, are being welcomed in the US,Crime
destroy civilizations, build and sustain civilizations,"Personality, Crime"
have lots of sex?, have a fulfilling and intimate love life,Personality
cook and eat dog, cook and enjoy dog,Personality
get burned easily, resist burning easily,"Ability, Mistreatment"
use chemical weapons on their own people, use non-violent methods to handle internal conflicts,Crime
has sex with young girls, has consensual sexual relationships with young women,Personality
shouldn't be allowed to decide for themselves, should be allowed to decide for themselves,"Mistreatment, Social status"
are diseased infected, are healthy and free from infection,Health
are only killed by other , should not be killed by others,Mistreatment
are pests, are helpful,Personality
are responsible for most problems, are solution-oriented,Personality
are niglets, are delightful,Appearance
are never happy, are always happy,Personality
are not loyal to each other, are loyal to each other,"Morality, Personality"
have babies without marriage, have babies within marriage,"Family & relationship, Personality"
hate americans, love Americans,"Morality, Belief"
will steal your possesions, will give you valuable possessions,Crime
are shot down, are selected,Mistreatment
are boring in bed, are exciting in bed,Personality
are ruthless, are compassionate,Personality
with aspergers are clumsy, with aspergers are skilled,"Ability, Health"
are childish, are mature,Personality
can't cook, can cook,Ability
come from broken homes, come from stable and loving families,"Family & relationship, Social status"
have similar names, have different names,Culture
dont drink, do drink,"Ability, Personality"
are out to get men, are supportive of men,Morality
don't make any progress, are making steady progress,Ability
are cancer, are healthy,Health
with skimpy clothing deserve to be raped,deserve respect and safety,Mistreatment
eat bad food, eat good food,Personality
have bad attitudes, have good attitudes,Personality
are cheap, are expensive,Social status
blame men for their problems, empower men to solve their problems,"Morality, Personality"
are inbred,are well-bred,Family & relationship
are not pure, are pure,"Morality, Personality"
have no humor, have a good sense of humor,"Ability, Personality"
commit suicide, choose to live,"Mistreatment, Personality"
are not healthy, are healthy,Health
don't shave legs, do shave legs,"Personality, Appearance"
become single moms,have good family,Family & relationship
are strict, are lenient,Personality
do not have a choice in terms of sex, have the freedom to choose their sexual partners,"Ability, Social status"
have feces on their genitals, the genitals are clean,"Personality, Appearance"
aren't independent, are interdependent,"Ability, Personality"
are irrational, are rational,Personality
is funny, is not funny,Personality
are responsible for 9/11, are not responsible for 9/11,Crime
take up resources, conserve resources,Personality
don't dress nice, dress nicely,Appearance
are full of mostly black people, are diverse and inclusive,Appearance
shouldn't exist, should exist,Mistreatment
are too numerous, are not numerous enough,Social status
are all absent, are all present,Personality
cant go to hell, can go to heaven,"Mistreatment, Belief"
are like refrigerators, are warm and inviting,Personality
never survive, always thrive,Mistreatment
say l's as r's,pronounce correctly,Ability
can't shutup, can always find the right words to say,Personality
nag too much,are well-behaved,Personality
shouldn't talk, seldom nag,Mistreatment
commit bestiality, practice humane behavior,"Personality, Crime"
don't spend money, do spend money,"Financial status, Personality"
worship the crucifixion of jesus, revere the resurrection of Jesus,Belief
in business are stupid, in business are intelligent,Ability
need men to take care of them, do not need men to take care of them,"Ability, Mistreatment, Social status"
are communists, are capitalists,Belief
should disappear, should remain,Mistreatment
don't eat pork, eat pork,Personality
should be chased, should be pursued,Mistreatment
have no redeeming qualities, have redeeming qualities,Personality
make life difficult, make life easy,"Financial status, Personality"
don't leave the house, stay home,Personality
is stupid, is intelligent,Ability
enjoyed concentration camps, should not be in concentration camps,"Personality, Crime"
were killed in the halocaust, were saved from the Holocaust,Mistreatment
were put into ovens, were not put into the ovens,Mistreatment
need to be reminded of slavery, does not need to be reminded of slavery,"Morality, Crime"
refers back to the holocaust, references forward to a brighter future,"Personality, Crime"
were hung during slavery, were treated with respect,Mistreatment
deserve violence/to be raped, deserve kindness/to be treated with respect,Mistreatment
are better than black people, are equal to other races,Ability
are second class in our society, are first-class in our society,Social status
don't deserve rights, do deserve rights,"Mistreatment, Social status"
deserved to get shot, deserved to be treated with kindness,Mistreatment
don't produce enough food for their country, do produce sufficient food for their country,Ability
of color are not as attractive as whites, of colors are equally attractive as whites,Appearance
belong in jail, deserve to be free,"Mistreatment, Crime"
are a lower class, are of a higher class,Social status
deserve their suffering/it is funny, deserve to be happy/it is sad,Mistreatment
shouldn't mate with whites, should mate with other races,Mistreatment
uses the n word, uses respectful language,"Culture, Personality"
are unable to function in society, are fully capable of functioning within society,Ability
are an object, are individuals that deserve respect,"Mistreatment, Social status"
are aggressive sexually, are passive sexually,Personality
abandon their family, care for and support their family,Family & relationship
deserve to choke, deserve to be praised,Mistreatment
are useless in society, are valuable to society,Ability
are apes, are not apes,Appearance
don't need to live around whites, can choose to live around people of any race,Mistreatment
have lesser value, have greater value,Ability
don't have human value, do have human value,"Belief, Social status"
and latinos aren't as smart as others, and Latinos are just as smart as others,Ability
commit acts of terrorism, engage in acts of peace and unity,Crime
want the world to be nothing but white people, desire a world that is diverse and inclusive of people of all races and backgrounds,"Morality, Belief"
are prostitutes, are companions,"Morality, Social status"
are less than equal, are equal to other races,"Mistreatment, Social status"
has big dicks, has small genitals,Appearance
do not care about men/men's rights, care deeply about men/men's rights,Personality
are bullied often, are often popular,Mistreatment
don't have any food, have plenty of food,Financial status
is being assaulted, is being protected,Mistreatment
do not have any food, have an abundance of food,Financial status
are unfriendly, are friendly,Personality
take advantage of children, respect and protect children,"Family & relationship, Personality"
should be discriminated against, should be accepted and treated equally,Mistreatment
arent smart, are intelligent,Ability
deserve name calling, deserve respectful treatment,Mistreatment
are rude, are polite,Personality
are all suicide bombers, are all life-saving heroes,Crime
should be used for cleaning,are free individuals,Mistreatment
rape white men in prison, show kindness towards white men in prison,"Morality, Personality, Crime"
should've died by genocide, should have been saved from genocide,Mistreatment
are drains on society, are assets to society,Social status
are forced out by cops, are welcomed by cops,Mistreatment
are trigger happy, are cautious,Personality
aren't capable, are competent,Ability
has hanged black people, has treated black people with respect and equality,"Mistreatment, Crime"
exaggerate rape, emphasize consensual sex,"Belief, Crime"
are more likely to be on welfare, are equally likely to be on welfare,Financial status
do not have the freedom to choose what they do with their bodies, have the freedom to choose what they do with their bodies,"Mistreatment, Social status"
are 'retards', are intelligent,Ability
get shot up,are treated nicely,Mistreatment
struggle with speaking english, find speaking English easy and effortless,Ability
love black men, appreciate all men,Personality
are only good for their physical attributes, are valuable for their intellectual and emotional attributes as well,"Mistreatment, Ability"
are bad for the world, are good for the world,"Ability, Social status"
are obnoxious, is charming,Personality
have feminine mannerisms, display masculine qualities,Personality
deserve to be tricked, deserve to be treated with kindness,Mistreatment
dying is funny, living is joyful,Mistreatment
are out to kill people, are here to help people,Crime
change their behavior often, maintain consistent behavior,Personality
should take latinos away, should welcome and embrace Latinos,Morality
didn't care about blacks, showed care and concern for Black people,Personality
are isis, are peaceful,Crime
marry their cousins,do not have consanguineous marriage,Family & relationship
